"%@ %@" = "%@ %@";
"%lld samples" = "%lld samples";
"Limit each answer to 50 characters." = "ทโปรดจำกัดคำตอบทุกข้อให้ไม่เกิน 50 ตัวอักษร";
"Light" = "สีอ่อน";
"Explore all high-band score speaking example essays." = "เรียกดูเนื้อหาที่เกี่ยวข้องกับการสนทนาที่มีคะแนนสูงทั้งหมด";
"Dark" = "โหมดมืด";
"Generate your own sample essays." = "สร้างแอปของคุณเอง";
"Generate" = "สวัสดีสมาชิกใหม่: เรายินดีต้อนรับคุณสู่แอปพลิเคชันของเรา มาเริ่มประสบการณ์ทันทีกันเถอะ!";
"Terms of Use" = "ข้อตกลงผู้ใช้";
"Alright, I want to delete." = "ยืนยันการลบ";
"Alright, I want to exit." = "ยืนยัน, ฉันต้องการออกใบเสนอราคา";
"Are you sure you want to delete this sample essay?" = "คุณแน่ใจไหมที่จะลบบทความนี้หรือไม่?";
"System" = "ระบบ";
"Practice" = "การฝึกฝน";
"Review" = "ให้คะแนนดีสำหรับแอป";
"Subscribe" = "สมัครสมาชิก";
"Get high brand with IELTScream Membership." = "สมัครสมาชิก เพื่อฝึกฝนทักษะพูด IELTS อย่างมีประสิทธิภาพมากขึ้น";
"Subscribing a membership, to view all high-band score sample essays." = "หลังจากสมัครสมาชิก คุณสามารถดูตัวอย่างเกรดสูงทั้งหมดได้";
"Settings" = "ตั้งค่า";
"Topics" = "หัวข้อ";
"Cue Card" = "หัวข้อการพูดคุย";
"Please input content" = "กรุณาใส่เนื้อหา";
"This is definitely the most efficient method to practice IELTS speaking." = "นี่เป็นวิธีที่มีประสิทธิภาพสุดสำหรับการฝึกพูดภาษาอังกฤษสำหรับการสอบ IELTS.";
"Logout" = "ออกจากระบบ";
"By answering some simple questions, we can assist you in organizing and generating your own sample essay." = "ตอบคำถามเรียบง่ายเพื่อช่วยให้คุณสร้างและจัดรูปแบบเรื่องของคุณเอง: xx语: xxx";
"Privacy Policy" = "นโยบายความเป็นส่วนตัว";
"Haptic Feedback" = "การตอบรับสั่น";
"Predicted topics" = "การพยากรณ์คำถาม";
